GrLivArea,QualScore,HouseAge,GarageScore,AllBaths,RoomScore,Details,Impress,Location,Years,Fundamentals,AdjSalePrice
856,5136,67.33333333333333,798.0,2.0,4,254,6,0.3932487887431028,8.516526137247649,0.8551402857317563,116167.60099750623
1049,5245,25.0,266.0,3.0,25,328,36,0.28798384662317694,7.62484309442428,0.8551402857317563,127628.23690773068
1001,5005,51.33333333333333,216.0,1.0,20,328,8,0.22534206504044393,-4.535571899189885,0.8551402857317563,117820.87980049876
1039,4156,74.66666666666666,281.0,1.0,30,326,24,0.2612383603326798,7.62484309442428,0.8551402857317563,104624.1396508728
1665,13320,8.0,1056.0,4.0,120,328,40,0.3953041348064857,7.62484309442428,-1.4624477146455541,208362.22443890275
1922,13454,6.0,1344.0,3.0,175,338,24,0.28798384662317694,7.62484309442428,0.8551402857317563,182579.4089775561
936,3744,55.99999999999999,1152.0,1.0,12,166,16,0.3808507688145221,7.62484309442428,1.7503205999740117,85085.49127182046
1246,8722,0.6666666666666666,856.0,2.0,50,336,32,0.20910913390301158,-4.289298412256046,-1.4624477146455541,174654.68870822943
889,4445,24.0,968.0,1.0,12,246,24,0.2873543824568536,-4.289298412256046,0.8551402857317563,127558.16708229424
1072,6432,2.0,1050.0,2.0,30,248,9,0.4185739986364529,-4.535571899189885,-1.4624477146455541,134146.5336658354
1342,10736,1.6666666666666663,1100.0,2.0,72,336,36,0.191824974832479,-4.289298412256046,-1.4624477146455541,205402.73566084783
1274,6370,19.0,1152.0,2.0,60,246,30,0.2873543824568536,8.516526137247649,-1.4624477146455541,125387.2518703242
861,3444,79.0,576.0,1.0,5,246,6,-0.10192949377451672,7.62484309442428,0.8551402857317563,73431.62094763093
1394,8364,46.0,1028.0,3.0,78,254,24,0.3868648738354144,7.62484309442428,0.8551402857317563,146247.48628428928
1536,10752,5.666666666666666,1064.0,3.0,119,328,32,-0.8378300423498418,-4.289298412256046,-1.4624477146455541,195888.4488778055
1680,10080,14.666666666666666,948.0,4.0,147,328,40,0.2992102155816671,-4.289298412256046,-1.4624477146455541,149012.8927680798
1274,8918,1.3333333333333333,1016.0,3.0,60,328,32,-0.8378300423498418,-4.535571899189885,-1.4624477146455541,196633.59600997504
864,2592,82.0,0.0,2.0,5,246,6,0.4135988557259055,-4.289298412256046,1.7503205999740117,61206.92269326683
1610,9660,25.0,960.0,3.0,114,254,24,0.3953041348064857,8.516526137247649,-1.4624477146455541,189109.1770573566
1091,6546,15.0,429.0,2.0,30,246,21,0.2873543824568536,7.62484309442428,0.8551402857317563,120626.27805486284
